pk,doc,vdoc,name_french,clarification,alternative_id,representation,featuredomain_pk,designer_pk,dependson,abbreviation,sortkey_str,sortkey_int,jl_relevant_unit,jl_function,jl_formal_means
169,,0==absent||1==present,Est-il possible  de marquer l’interrogation totale ( questions oui/non-) par rien que parl’intonation?,"There is no other marker in the clause that signals polar interrogation, not even lack of finiteness compared to the affirmative. Intonation needs to be separated from tone because tone can be considered as a particle. intonation is super segmental whereas tone is bound to an constituent (even ""underlying"" tones are bound). If polar interrogation is expressed by a particle with a certain tone, then it is marked by a particle and not by intonation. The issue becomes more complicated if we consider cases where a particle with tone has suffixed and finally merged with the preceding element leaving nothing but the tone left. These are sometimes called “tonal suffixes”. In those cases the tone or intonation would attach to anything preceding, making it hard to distinguish from intonation without the entire phrase contour.||Intonation is on larger units than a syllable, tone is on one syllable only. I.e. if it’s only a tone change in the last syllable it is not intonation but a tonal affix (most likely the remains of an old suffix). This triggers yes (1) in F261 and no (0) in F257. Keep in mind that the descriptor might mark a change of pitch only on the last syllable, but in reality the pitch change could be evident earlier.",,67,1,1,(258:1 v 259:1) -> 257:1,,,257,clause,interrogation,intonation
170,,0==absent||1==present,L’intonation interrogative totale ( questions oui/non-) est-elle montante?,,,58,1,1,257:0 -> 258:na,,,258,clause,interrogation,intonation
171,,0==absent||1==present,L’intonation interrogative totale ( questions oui/non-) est-elle descendante?,,,58,1,1,257:0 -> 259:na,,,259,clause,interrogation,intonation
172,"Can you say ""The man is running big"" and the like to mean ""The big man is running"". Typically a language which allows this has extensive agreement systems so that you can still work out what modifes what in the NP with- out them being adjacent.",0==absent||1==present,Existe-t-il des syntagmes nominaux discontinus?,"This is a question concerns the structure of the NP. Can you, for example, say ""The man is running big"" and the like to mean ""The big man is running"". Typically a language which allows this has extensive agreement systems so that you can still work out what modifies what in the NP without them being adjacent. > i.e. the ""Australian type"". NPs that are made up of several coordinated NPs that can be interpreted by the verb or other elements are not relevant here, this features aims to capture NPs where the head and modifiers can be separated. Examples of the type ""I painted the house red"" or ""I saw the boy big"" are not necessarily discontinuous, but most likely resultative or contrastive (""I saw the boy big [as opposed to before when he was small]"").",2.1.06,242,2,1,26,DiscontNP,,26,noun phrase,argument marking,word order
173,,0==absent||1==present,Est-il possible  de marquer interrogation totale ( questions oui/non-) uniquement en changeant l’ordre des mots ?,"There is no other marker in the clause that signals polar interrogation, not even lack of finiteness compared to the affirmative.",,77,1,1,260,,,260,clause,interrogation,word order
174,,0==absent||1==present,Est-il possible  de marquer l’interrogation totale ( questions oui/non-) par uniquement par une particule ?,"There is no other marker in the clause that signals polar interrogation, not even lack of finiteness compared to the affirmative. Particles that are described as tag-questions, i.e. requesting agreement, are not counted here. . Intonation needs to be separated from tone because tone can be considered as a particle. intonation is super segmental whereas tone is bound to an constituent (even ""underlying"" tones are bound). If polar interrogation is expressed by a particle with a certain tone, then it is marked by a particle and not by intonation. The issue becomes more complicated if we consider cases where a particle with tone has suffixed and finally merged with the preceding element leaving nothing but the tone left. These are sometimes called “tonal suffixes”. In those cases the tone or intonation would attach to anything preceding, making it hard to distinguish from intonation without the entire phrase contour.||Intonation is on larger units than a syllable, tone is on one syllable only. I.e. if it’s only a tone change in the last syllable it is not intonation but a tonal affix (most likely the remains of an old suffix). This triggers yes (1) in F261 and no (0) in F257. Keep in mind that the descriptor might mark a change of pitch only on the last syllable, but in reality the pitch change could be evident earlier.",,74,1,1,"(291:1 v 292:1 v 262:1 v 263:1 v 264:1)-> 261:1, 261:1 -> (262:1 v 263:1 v 264:1)",,,261,particle,interrogation,particle
175,,0==absent||1==present,La particule interrogative totale est-elle positionnée en début de clause?,,,76,1,1,"261:0 -> 262:na, 261:1 -> (262:1 v 263:1 v 264:1)",,,262,particle,interrogation,particle
176,,0==absent||1==present,La particule interrogative totale est-elle positionnée en fin de clause?,,,75,1,1,"261:0 -> 263:na, 261:1 -> (262:1 v 263:1 v 264:1)",,,263,particle,interrogation,particle
177,,0==absent||1==present,La particule interrogative totale est-elle positionnée en milieu de clause?,,,72,1,1,"261:0 -> 264:na, 261:1 -> (262:1 v 263:1 v 264:1)",,,264,particle,interrogation,particle
178,,0==absent||1==present,Est-il possible  de former des constructions comparativesau moyen d’un verbe ayant le sens de ‘surpasser ’ou ‘dépasser’?,"That which is being compared is the subject, the standard is the direct object and there are two predicates: one expressing surpass/exceed and the other carrying the relevant lexical information about the property (i.e. ""Ronald  exceed be-tall Julia"").The order of these predicates is not relevant for this feature, not if the property word is a verb of an adjective. It is important that the finite verb has other functions besides comparisons, typically locational functions such as ""be in front of"" etc.",,66,1,1,265,,,265,clause,comparative,inserted item
179,,0==absent||1==present,"Est-il possible  de former une construction comparative au moyen d’un comparatif locatif, i.e.  que le NP standard soit marqué par un morphème locatif ou adverbial?","The standard NP is invariably constructed with a marker that also has a locational/adverbial function. Please note that benefactive markers are included here and that the marker of the property word is irrelevant for this feature (i.e. ""tall-er"").",,64,1,1,(267:1 v 268:1 v 269:1 277:1) -> 266:1,,,266,clause,comparative,multiple
180,,0==absent||1==present,Est-il possible  de former une construction comparative au moyen d’un morphème qui indique l’origine du mouvement (a ‘from-comparative’) ?,"A from-comparative marks the standard as a source of movement (""out/ from"").",,62,1,1,266:0 -> 267:na,,,267,clause,comparative,multiple
181,,0==absent||1==present,Est-il possible  de  former une construction comparative par un morphème qui indique la cible du mouvement (a ‘to-comparative’)?,"A to-comparative marks the standard as the goal of a movement (""to/towards/over/beyond"").",,62,1,1,266:0 -> 268:na,,,268,clause,comparative,multiple
182,,0==absent||1==present,Est-il possible  de  former une construction comparative  au moyen d’un morphème bénéfactif ?,"A benefactive comparative marks the standard as a benefactee (""for"").",,62,1,1,266:0 -> 269:na,,,269,clause,comparative,multiple
183,,0==absent||1==present,Existe-t-il une différence entre le marquage de la NP coordonnés (‘Gérard etLouise sont allés au marché’) et  celui  de syntagmes comitatifs ? (‘Gérard est allé au marché avecLouise’)?,"This is not always explicitly stated by the descriptive work, but an investigation into the examples and perhaps even appendixed text of the grammar should reveal this (to a certain extent).",2.1.07,260,2,1,27,CoordComit,,27,noun phrase,coordination,inserted item
184,,0==absent||1==present,Est-il possible de  former une construction comparative  au moyen de clauses conjointes?,"Two clauses, one with the standard-NP and one with the comparee-NP. They have the same function in the clauses (i.e. ""She is nice, he is not nice"").",,64,1,1,(271:1 v 271:1) -> 270:1,,,270,clause,comparative,coordination
185,,0==absent||1==present,Les prédicats dans les clauses conjointes sont-ils des antonymes?,"""The house is big, the dog is small""",,64,1,1,270:0 -> 271:na,,,271,adjective,comparative,coordination
186,,0==absent||1==present,Existe-t-il une différence de polarité entre les prédicats dans les clauses conjointes ?,"""The house is big, the dog is not big""",,64,1,1,270:0 -> 272:na,,,272,adjective,comparative,coordination
187,,0==absent||1==present,Est-il possible  de construire une construction comparative  au moyen d’une particule?,"The particle comparative constructions is defined by the particle that is  marking of the standard. It is crucial that it is not the same as an exceed-verb nor locational/existential, i.e. falling into the categories of 265-277. The particle can have other functions though, they are often but not necessarily temporal adverbs or conjunctions. It is irrelevant whether the particle is phonologically free or not or whether it agrees or triggers agreement in case, gender etc.  It is highly likely that particle-comparative constructions grammaticalizes from constructions of conjoined clauses. An example of a particle comparative would be the Germanic languages, such as  English ""than"". Note that the marking of the property word is not relevant here (i.e. ""tall-er"").",,64,1,1,273,,,273,particle,comparative,particle
188,,0==absent||1==present,Dans une construction comparative l’élément indiquant la propriété graduable porte-il un marquage de comparaison?,"Is there a comparative form of the property word  (i.e. ""tall-er"" or ""plus grand""). This feature only concerns constructions where the standard is present, i.e. not ""Maria is tall"".",,68,1,1,274,,,274,adjective,comparative,multiple
189,,0==absent||1==present,Dans une construction comparative l’élément indiquant la propriété graduable  est-il marqué par un affixe?,"Is there a comparative form of the property word (i.e. ""tall-er""). This feature only concerns constructions where the standard is present, i.e. not ""Maria is tall"".",,70,1,1,274:0 -> 275:na,,,275,adjective,comparative,affixes & clitics (- agreement)
190,,0==absent||1==present,Dans une construction comparative l’élément indiquant la propriété graduable est-il marqué par un mot indépendant de degré?,"Is there a comparative form of the property word (i.e. ""plus grand""). This feature only concerns constructions where the standard is present, i.e. not ""Maria is tall"".",,68,1,1,274:0 -> 276:na,,,276,adjective,comparative,particle
191,,0==absent||1==present,Est-il possible  de former une construction comparative  au moyen d’un morphème locatif statif (‘chez’/’sur’/’à’)?,"A at-comparative marks the standard as the location of movement (""at/upon/in"")",,62,1,1,266:0 -> 277:na,,,277,adjective,comparative,multiple
192,,0==absent||1==present,Existe-t-il  des variations d‘alignement des arguments marquant des participants basiques?,,,34,1,1,(279:1 v 280:1 v 281:1 v 282:1) -> 278:1,,,278,clause,argument marking,head marking
193,,0==absent||1==present,Est-ce que les variations d‘alignement des arguments des participants basiques sont fondées sur des distinctions de TAM ?,,,33,1,1,278:0 -> 279:na,,,279,clause,TAM marking,multiple
194,,0==absent||1==present,Existe-t-il une distinction inclusif/exclusif?,"Is there a pronoun or other marker that explicitly marks the inclusion of an interlocutor? It could be that only inclusion is differentiated and not exclusion, exclusion does not have to be overtly marked for (1) here. This feature is not restricted to the pronominal system but includes verbal marking as well. This means that if is not in a direct dependency relation to F29.",2.2.01,348,2,1,28,InclExclDist,,28,pronoun,deixis,functional inventory
195,,0==absent||1==present,Est-ce que les variations  d‘alignement des arguments des participants basiques sont fondées sur des distinctions des classes des verbes ?,,,34,1,1,278:0 -> 280:na,,,280,verb,argument marking,head marking
196,,0==absent||1==present,Est-ce que les variations  d‘alignement des arguments des participants basiques sont fondées sur le type de clause (principale ou subordonné) ?,,,33,1,1,278:0 -> 281:na,,,281,clause,argument marking,head marking
197,,0==absent||1==present,Est-ce que le variations  d‘alignement des argument des participants basiques sont fondées sur des distinctions des personnes ?,,,34,1,1,278:0 -> 282:na,,,282,clause,argument marking,head marking
198,,0==absent||1==present,Est-il possible  que les verbes s’accordent en genre/classe nominale avec le sujet nominal ?,"Main verbs only and nominal arguments. Agreement does not have to obligatory in all conditions, for example it can vary with negation or TAME, but  its absence cannot be triggered by the presence of nominal arguments. If the marker disappears when there is a nominal argument then it’s not agreement, it is just a regular pronoun. Pronoun often “agree” with the nominal argument their “replacing” (their antecedent), this is however not verbal agreement. The antecedent of the agreement marker must be able to be present in the clause.",,60,1,2,50:0 -> 283:na,,,283,verb,nominal classification,agreement
199,,0==absent||1==present,Est-il possible  que les verbes de s’accordent en nombre avec le sujet nominal ?,"Main verbs only and nominal arguments. Agreement does not have to obligatory in all conditions, for example it can vary with negation or TAME, but  its absence cannot be triggered by the presence of nominal arguments. If the marker disappears when there is a nominal argument then it’s not agreement, it is just a regular pronoun. Pronoun often “agree” with the nominal argument their “replacing” (their antecedent), this is however not verbal agreement. The antecedent of the agreement marker must be able to be present in the clause.",,54,1,2,284,,,284,verb,number,agreement
200,,0==absent||1==present,Est-il possible  de marquer l’interrogation totale ( questions oui/non-) par de la morphologie verbal et une particule interrogative?,"There is no other marker in the clause that signals polar interrogation, not even lack of finiteness compared to the affirmative.",,70,1,1,285,,,285,clause,interrogation,multiple
201,,0==absent||1==present,Est-il possible  de marquer l’interrogation totale ( questions oui/non-) uniquement par la morphologie verbale ?,"There is no other marker in the clause that signals polar interrogation, not even lack of finiteness compared to the affirmative.",,73,1,1,286,,,286,verb,interrogation,affixes & clitics (- agreement)
202,,0==absent||1==present,Les  bénéficiaires peuvent-ils être traités comme des objets directs en termes de cas grammaticaux?,,,41,1,2,"(70:0) -> 287:na, 105:0 -> 287:na",,,287,noun phrase,argument marking,case marking
203,,0==absent||1==present,"Les  bénéficiaires peuvent-ils être traités comme des objets directs en termes des adpositions qui marquent les NPs basiques (i.e. S, A et O) ?",,,40,1,2,"(76:0) -> 288:na, 105:0 -> 288:na",,,288,adposition,argument marking,constituent marking
204,,0==absent||1==present,Les  bénéficiaires peuvent-ils être traités comme des objets directs en termes d'accord verbal?,,,41,1,2,"((287:0 ^ 288:0) ^ (289:1 v 290:1)) -> 105:1, 105:0 -> 289:na",,,289,verb,argument marking,agreement
205,"i.e. four basic pronominal forms for 1sg, 2sg, 3sg and 1sg+2sg, which each can be affixed for plural (or dual etc.). For example, a pronoun system whose forms are 1sg A, 2sg B, 3sg C, 1sg+2sg D, 1pl.ex AE, 1pl.in DE, 2pl BE, 3pl CE is minimal- augmented because 1sg, 2sg, 3sg, 1sg+2sg have monomorphemic forms (A, B, C, D) and a plural marker (E) ""the augment"" is attached to the minimal forms to create the corresponding plural forms.",0==absent||1==present,Existe-t-il un système pronominal minimal/augmenté?,"These systems are similar to incl/excl, but there are forms that differentiate whether or not a third party are included. This can be combined with incl/excl like so:||Excl-Min : 1.sg (only)||Excl-Aug: 1.sg + 3.pl (NOT 2.sg)||Incl-Min: 1.sg + 2.sg (NOT 3.pl)||Incl-Aug: 1.sg + 2.sg + 3.pl",2.2.01a,314,2,1,29:1 -> 28:1,MinAug,,29,pronoun,deixis,functional inventory
206,,0==absent||1==present,Les  bénéficiaires peuvent-ils être traités comme des objets directs en termes de marquage de personne sure le verbe (pas concord)?,,,41,1,2,"((287:0 ^ 288:0) ^ (289:1 v 290:1)) -> 105:1, 105:0 -> 290:na",,,290,verb,argument marking,head marking
207,,0==absent||1==present,Est-ce que la particule interrogatif est ton?,"This feature deals with the presence or absence of a construction where the only difference between the interrogative and the declarative is marked by intonation. In contrast to the feature in WALS, this does not mean that this is the only strategy in the language, but that this is the only marker in this construction.",,35,1,1,261:0 -> 291:na,,,291,particle,interrogation,intonation
208,,0==absent||1==present,Est-ce que la particule interrogatif n'est pas ton?,,,39,1,1,262:0 -> 291:na,,,292,particle,interrogation,inserted item
209,,0==absent||1==present,,Ideophones are marked words that depicts sensory imagery. 'Marked' here means standing out through unusual…,,28,1,1,293,,,293,ideophone,iconicity,functional inventory
210,,0==absent||1==present,,Ideophones are marked words that depicts sensory imagery. 'Marked' here means standing out through unusual…,,22,1,1,293:0 -> 294:0,,,294,ideophone,iconicity,conjugation
211,,0==absent||1==present,,Ideophones are marked words that depicts sensory imagery. 'Marked' here means standing out through unusual…,,23,1,1,293:0 -> 295:0,,,295,ideophone,iconicity,declension
212,,0==absent||1==present,,Ideophones are marked words that depicts sensory imagery. 'Marked' here means standing out through unusual…,,20,1,1,293:0 -> 296:0,,,296,ideophone,iconicity,multiple
213,,0==absent||1==present,,"This feature concerns polar interrogative constructions where the main verb is repeated, one time in the affirmative form and another in the negated. This is independent of the negation marking system of the language, it may be by suffixes, auxiliaries, postposed etc. The negated form need not be in second place, it could be first as well.",,21,1,1,297,,,297,clause,interrogation,inserted item
214,,0==absent||1==present,,,1.1.05,242,2,1,,Frics,,3,,,
215,gender can be natural gender (m/f ) or animate vs inanimate or something else,0==absent||1==present,"Existe-t-il une distinction de genre pour les pronoms de 3ème  personne (ou pour les démonstratifs, s’il n’y a pas de pronoms de 3ème  personne)?","This is often natural gender (masc./fem), but it could be animacy as well. If pronouns of inanimate nouns agree with the gender/noun class of that noun that will suffice for (1) here.",2.2.02,346,2,1,(168:1 v 169.1) -> 30:1,GenDist3rd,,30,pronoun,pronominal gender,functional inventory
216,,0==absent||1==present,Existe-t-il une catégorie de duel (ou augmentation d’unité) en plus du pluriel (ou augmentation) dans le système pronominal?,"This needs to be a category that is present for all persons, i.e. 29:1 -> 31:1 is not (necessarily) true",2.2.03a,316,2,1,29:1 -> 31:1,DualPronoun,,31,pronoun,number,functional inventory
217,,0==absent||1==present,Existe-t-il des contextes où les marqueurs de 1ere et 2e personnes sont   amalgamés ?,"This can be hard to fully reject, but there is usually enough information about person marking in different TAME-paradigms, negation etc. to make a decision.",2.2.04,307,2,1,32,12PronConfl,,32,other,person,conflation
218,morphologically in any paradigm; disregard pragmatics/politeness,0==absent||1==present,Existe-t-il des contextes où les marqueurs  de 2e  et 3e  personne sont  amalgamés pour les nombres non singuliers?,"This can be hard to fully reject, but there is usually enough information about person marking in different TAME-paradigms, negation etc. to make a decision.",2.2.05,307,2,1,33,23PronConfl,,33,other,person,conflation
219,"e.g. in non-singular, under NEG, in certain TAM",0==absent||1==present,Existe-t-il des contextes où tous les marqueurs de personne sont neutralisés?,"In this question we mean all person categories, not just one person. It could for example be that person-marking entirely disappears under negation.",2.2.06,246,2,1,34,PersCatNeut,,34,other,person,conflation
220,,0==absent||1==present,Existe-t-il une opposition entre trois distinctions de distance ou plus dans le système démonstratif?,"Demonstratives are markers of a small set This doesn't have to be only Euclidean distance (meters, inches etc.), it could also be concerned with near or far in relation to the interlocutors (cf. Wolof). If the system of demonstratives includes a marker that is anaphoric this does not count as a third distance.",2.3.02a,305,2,1,35,3TermDems,,35,demonstrative,deixis,functional inventory
221,"E.g., do demonstratives obligatorily encode a difference like ""this above""  and  ""this below "".",0==absent||1==present,Existe-t-il une distinction de l’élévation dans le système démonstratif?,"Elevation is concerned with how high up or low an object is, altitude.",2.3.05,338,2,1,36,VerticalDem,,36,demonstrative,deixis,functional inventory
222,,0==absent||1==present,Existe-t-il une distinction visible/non-visible dans le système démonstratif?,"Is there a distinction visible-non-visible when referencing to items that are in the same relative distance, i.e. it is not relevant that demonstratives denoting far away reference often also imply non-visibility.",2.3.06a,297,2,1,37,VisNonvisDem,,37,demonstrative,deixis,functional inventory
223,"Do demonstratives obligatorily encode classication of the referent noun, e.g., by carrying a classifer morpheme?",0==absent||1==present,Existe-t-il des classificateurs démonstratifs? (Nota bene: pas des indices d'accord),"Please note, this does NOT concern agreement with the noun class but a separate nominal classification system. This question concerns whether there exists a independent classifier system in demonstratives that is not related to the gender/noun class systems. This classifier system can however be symmetrical with numeral, possessive or verbal classifiers.",2.3.07,307,1,1,38,DemClassifier,,38,demonstrative,nominal classification,functional inventory
224,(By noun declensions is meant e.g. nouns divided into groups which act differently in terms of morphological marking. Do not include place names which can act as bare adjuncts.),0==absent||1==present,Existe-t-il des déclinaisons qui sont déterminées  (partiellement) par le nombre du nom?,"Are there, for example, different markings of number that does not correlate with different markings of singular, i.e. are there new groups in the plural that are not aligned with the singular groups?",2.4.02,312,2,1,39,NumDecl,,39,noun,number,declension
225,,0==absent||1==present,,,1.1.06,236,2,1,,PrenasStops,,4,,,
226,,0==absent||1==present,Existe-t-il des déclinaisons qui sont (au moins partiellement) déterminées par le genre du nom ?,"This is a sub-question of ""are there genders/noun classes"" that is only concerned with the marking on the noun itself (i.e. there doesn't have to be agreement within the NP).",2.4.03,337,2,1,"50.0 -> 40:na, (245:1 v 246:1 v 247:1 v 248:1) -> 40:1",GenderDecl,,40,noun,nominal classification,declension
227,Only answer yes if present for more than 2 (basic) kin terms,0==absent||1==present,Existe-t-il des noms qui sont marqués en nombre par supplétion?,Only answer (1) if there are more than two examples of this. Body-parts and kinship terms are good plcase to start investigating.,2.4.05,267,2,1,(210:1 ν 214:1 ν 219:1 ν 224:1 ν 229:1) -> 41:1,SuppletiveN,,41,noun,number,suppletion
228,number-marking on N does not count phrase-level clitic or reduplication absence of plural marking does NOT count as singular marking,0==absent||1==present,Est-il possible de marquer le singulier sur le nom lui-même?,"This is meant to capture marking on a open set of nouns, not a restricted set. Absence of plural marking or marking on the entire NP is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.",2.4.07,345,2,1,(208.1 v 209:1 v 210:1 v 211:1) -> 42:1,SingMarkedN,,42,noun,number,affixes & clitics (- agreement)
229,number-marking on N does not count phrase-level clitic or reduplication,0==absent||1==present,Est-il possible  de marquer le duel sur le nom lui-même?,"This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.",2.4.08,347,2,1,(212:1 v 213:1 v 214:1 v 215:1 v 216:1) -> 43:1,DualMarkedN,,43,noun,number,affixes & clitics (- agreement)
230,number-marking on N does not count phrase-level clitic or reduplication,0==absent||1==present,Est-il possible  de marquer le pluriel sur le nom lui-même?,"This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.",2.4.09,353,2,1,(217:1 v 218:1 v 219:1 v 220:1 v 221:1) -> 44:1,PlMarkedN,,44,noun,number,affixes & clitics (- agreement)
231,"(do not include proper nouns, e.g. place names or personal names)",0==absent||1==present,Le marquage du nombre est-il interdit pour certains types des noms?,"""Certain types of nouns"" refers to groups of nominal roots, be they genders/noun classes or other categories. There are languages where obligatoriness of number marker varies with the information status/deictic status of the referents (Yowle and Guro for example), that kind of distinction is not what this feature is concerned with. Is there any mention that certain types of nouns (mass nouns for example) or members of certain genders/noun classes cannot take any number marking? If there is a noun class that is described as ""collective"" or ""mass"" then it is necessary to investigate if roots that occur there can be put in a noun class that is more clearly marked for number. If they cannot then number marking is prohibited for those roots, i.e. (1) in F45.",2.4.11,274,2,1,"45:0 -> (205:na ^ 206:na), (205:1 v 206:1) -> 45:1",LimitedNum,,45,noun,number,declension
232,The associative marker may or may not to be the same as a/the general plural marker,0==absent||1==present,Existe-t-il des pluriels associatifs?,"Is there a marker on the noun that instead of marking additive plural ""several X"" marks that the reference contains entities associated with X, ""X and other people/things associated with X’.",2.4.11a,183,1,1,46,AssocPl,,46,noun,number,affixes & clitics (- agreement)
233,"if a language is precategorial, include the morphological mechanisms to produce such 'nominalizations'",0==absent||1==present,"Existe-t-il un processus de nominalisation productif permettant dériver un état d’une action (ou l’inverse), comme ‘arriver’ – ‘l’arrivée’?","Arrive -arriving would also serves as an example, or 'La concentracio´n de Sherlock Holmes duro´ cinco horas'  - ‘Sherlock Holmes’ concentration lasted five hours’.  Productive compounding with nouns is not sufficient for a ""yes ""in F47.",2.4.12,259,2,1,47,ActStateNmzr,,47,verb,derivation,affixes & clitics (- agreement)
234,,0==absent||1==present,Existe-t-il un processus de nominalisation productif permettant de dériver un agent d’une action (‘chanter’ - ‘chanteur’)?,"Productive compounding with words meaning “person” is not sufficient for a ""yes ""in F48.",2.4.13,252,2,1,48,AgentiveNmzr,,48,verb,derivation,affixes & clitics (- agreement)
235,,0==absent||1==present,Existe-t-il un processus de nominalisation productif permettant de dériver un objet d’une action (‘chanter’ - ‘chanson’)?,"Productive compounding with words meaning “thing” is not sufficient for a ""yes ""in F49.",2.4.14,242,2,1,49,ObjectNmzr,,49,verb,derivation,affixes & clitics (- agreement)
236,,0==absent||1==present,,,1.1.07,240,2,1,,LRDist,,5,,,
237,By noun classes/genders is meant a system of dividing all or almost all of the nouns of a language into morphological classes which determine agreement phenomena beyond the noun itself.,0==absent||1==present,Existe-t-il des classes nominales/genres ?,"We make no distinction between 'gender' and 'noun classes' in this survey.  They are systems of nominal and/or pronominal classification that is overtly marked either on the noun itself, through concord on other constituents or on 3rd person pronouns only. A (1) in F30, F196 or F197 (gender in pronouns) or F40 does not automatically give a (1) in F50. A (1) in F116 (noun class agreement on the verb) or in F56 (noun class agreement in NP) will however give a (1) in F50.",2.5.01,348,2,1,(56:1 ν 40:1 ν 199:1 ν 283:1) -> 50:1,Genders,,50,noun,nominal classification,functional inventory
238,,0==absent||1==present,Le sexe est-t-il une catégorie pertinente dans le système de genre/classe nominale ?,"Relevant category here does not have to mean that it's the absolute deciding factor when assigning a noun to a certain gender/NC, but that there is a clear preference for certain nouns to have a certain gender/NC.",2.5.02,325,2,1,50:0  -> 51:0,SexGender,,51,noun,nominal classification,functional inventory
239,,0==absent||1==present,La forme constitue-t-elle une catégorie pertinente  dans le système de genre/classe nominale?,"Relevant category here does not have to mean that it's the absolute deciding factor when assigning a noun to a certain gender/NC, but that there is a clear preference for certain nouns to have a certain gender/NC.",2.5.03,314,2,1,50:0  -> 52:0,ShapeGender,,52,noun,nominal classification,functional inventory
240,,0==absent||1==present,Le caractère animé  constitue-il une catégorie pertinente dans le système de genre/classe nominale ?,"Relevant category here does not have to mean that it's the absolute deciding factor when assigning a noun to a certain gender/NC, but that there is a clear preference for certain nouns to have a certain gender/NC.",2.5.04,351,2,1,50:0  -> 53:0,AnimGender,,53,noun,nominal classification,functional inventory
241,,0==absent||1==present,Le caractère végétal constitue-t-il une catégorie pertinente dans le système de genre/classe nominale ?,"Relevant category here does not have to mean that it's the absolute deciding factor when assigning a noun to a certain gender/NC, but that there is a clear preference for certain nouns to have a certain gender/NC.",2.5.04a,285,2,1,50:0  -> 54:0,PlantGender,,54,noun,nominal classification,functional inventory
242,emphasis on ONLY; cf. 2.2.02,0==absent||1==present,La distinction de genre dans la langue affecte-elle uniquement les pronoms de 3ème  personne,"The value (0) here can mean both ""No, there is gender in 3rd person pronouns, but there is also gender/noun class distinctions elsewhere"" and "" No, there is no gender distinctions in 3rd person pronouns and there are genders/noun classes elsewhere"".",2.5.05,328,2,1,"30:0 -> 55:na, (30:1 ^ 50:0 ^ 197:0 ^ 196:0) -> 55:1",GenderOnly3,,55,pronoun,pronominal gender,functional inventory
243,related to class/gender,0==absent||1==present,"Y-a-t-il un accord au sein du NP, c’est-à-dire que les autres éléments du NP s’accordent à la classe nominale du nom ?",,2.5.06,327,2,1,50:0 - > 56:na,NPConcord,,56,noun phrase,nominal classification,agreement
244,"i.e. free or bound morphemes which are non-agreeing, noun categorisation devices, the choice of which is determined by lexical selection",0==absent||1==present,Existe-il des classificateurs numéraux?,This does not concern whether or not numerals agree with the noun class of the head they modify. This question concerns whether there exists a independent classifier system in numerals that is not related to the other classifier systems.,2.5.09,329,2,1,57,NumClassif,,57,classifier,nominal classification,inserted item
245,"i.e. free or bound morphemes which are non-agreeing, noun categorisation devices, the choice of which is determined by lexical selection",0==absent||1==present,Existe-t-il des classificateurs possessifs?,"This does not concern whether or not possessive markers agree with the noun class of the possessum. This question concerns whether there exists a independent classifier system in possessive markers that is not related to the other classifier systems. We are concerned both with markers that signal the nature of the possessor or the possessum, and the relationship between them. Differences in the expression of individual, joint, separate and group possession is not relevant here. This feature applies to both pronominal and nominal possessors. Possessive classifiers need not be obligatory, it can also be possible to construct possessive phrases with no classification of nominals into different categories.",2.5.10,331,2,1,58,PossClassif,,58,classifier,nominal classification,inserted item
246,,0==absent||1==present,Est-ce que la distinction aliénable/inaliénable est pertinente?,"Are there different constructions, either in attributive or predicative possession, that differ in alienability? This feature applies to both pronominal and nominal possessors.",2.6.02,322,2,1,60:0 -> 59:0,Inalien,,59,noun + pronoun,possession,construction
247,,0==absent||1==present,,,1.1.08,238,2,1,,PhonVelarFricOrGlide,,6,,,
248,,0==absent||1==present,Existe-t-il différentes constructions possessives attributives?,"This question pertains only to attributive possession. The difference could be alienable/inalienable or different classes of possession as in F58. Differences in the expression of individual, joint, separate and group possession is not relevant here. This feature applies to both pronominal and nominal possessors. The difference in marking cannot only be the prescence or abscence of a certain marker, such as the possissive marker being optional in inalienable constructions. However, the difference can be marked by change in order of the elements, even if they elements are exactly the same and it is only order that is different.",2.6.03,304,2,1,(66:1 ν 59:1) -> 60:1,MultPossCons,,60,noun + pronoun,possession,construction
249,"To mark possession, can you mark the possessor by a prefix to the possessed  noun?",0==absent||1==present,Est-il possible de marquer la possession attributive par un préfix?,Attributive possession on either the possessor or possessum. This feature applies to both pronominal and nominal possessors.,2.6.05,340,2,1,61,PossPrefix,,61,noun + pronoun,possession,affixes & clitics (- agreement)
250,"To mark possession, can you mark the possessor by a suffix to the possessed noun?",0==absent||1==present,Est-il possible de marquer la possession attributive par un suffixe?,Attributive possession on either the possessor or possessum. This feature applies to both pronominal and nominal possessors.,2.6.06,332,2,1,62,PossSuffix,,62,noun + pronoun,possession,affixes & clitics (- agreement)
251,,0==absent||1==present,Est-il possible de marquer la possession attributive sur le possesseur ?,Attributive possession only. This feature applies to both pronominal and nominal possessors.,2.6.07,332,2,1,63,MarkedPossr,,63,noun + pronoun,possession,affixes & clitics (- agreement)
