ID,Name,Description,Contributor_ID,Doc,Vdoc,Name_french,Clarification,Alternative_id,Representation,Dependson,Abbreviation,Jl_relevant_unit,Jl_function,Jl_formal_means,Domain
126,Is there one or more existential verb?,,gerreesink,To count as existential the verb has be different from the copula verb. Include negative existential verbs.,0==absent||1==present,Existe-t-il un ou plusieurs verbe existentiels?,"Is there an element expressing existential or locational predication, that is different from the equative or attributive copula? It is possible that there are more than one existential/locational element making further distinctions, temporary versus permanent existence or a special marker for negative existence.  Different positional verbs do not count here. The existential/locational marker can be used for the expression of other functions, such as aspect, as long as it is not identical to the copula of identity or attribution. The existential verb need not take the same morphological marking an syntactic position as the word class labeled ""verbs"", it can for example be described as a copula or demonstrative.",3.8.01,275,126,ExistentialV,verb,predication,functional inventory,Arawakan-specific
127,Are there positional (classificatory) verbs?,,gerreesink,"(i.e. in answer to a question 'Where is the X', does the verb used in the answer depend on the type of referent (e.g. do you have to say 'The X sits/stands/lies/etc on the table'). List them all.",0==absent||1==present,Existe-t-il des verbes de position (de verbes classificatoires) ?,"Is it obligatory to mark position when denoting location, i.e. do you have to say 'the X sits/stands/lies/etc. on the table'? Note that for (1) this needs to be obligatory. This feature concerns inherent lexical properties, not if there is productive morphology to mark position (that is F116).",3.8.02,205,127,PositionialV,verb,nominal classification,functional inventory,Arawakan-specific
128,Is the verb 'give' morphologically peculiar (different from most other verbs)?,,gerreesink,e.g. stem suppletion; different affixation,0==absent||1==present,Le verbe « donner » est-il morphologiquement  particulier (diffèrent de la plupart des autres verbes ) ?,Does it for example undergo suppletion in certain circumstances or have an unusual set of affixes?,3.8.03,291,128,IrregGive,verb,verbal classification,conjugation,Arawakan-specific
129,"Is there a notably small number, i.e. about 100 or less, of verbs in the language?",,gerreesink,,0==absent||1==present,"Y-a-t-il un nombre  particulièrement faible de verbes dans la langue, i.e. à peu près 100 ou moins?","This is not always explicitly stated by the descriptive work, but an investigation into texts and wordlists should reveal this.",3.8.04,315,129,ClosedClassV,verb,verbal classification,functional inventory,Arawakan-specific
130,What is the pragmatically unmarked order of S and V in instransitive clauses?,,gerreesink,,1==SV||2==VS||3==both,Quel est l'ordre non marqué pragmatiquement du sujet et du verbe dans les clauses intransitives?,"All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.",see 4.1.01 and 4.1.02,316,130,OrderSV,clause,argument marking,word order,Arawakan-specific
131,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?,,gerreesink,,0==absent||1==present,Existe-il un ordre de constituants non marqué pragmatiquement avec le verbe en position initiale pour les clauses transitives ?,"All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.",4.1.03,345,131,VInitTrans,clause,argument marking,word order,Arawakan-specific
132,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?,,gerreesink,,0==absent||1==present,Existe-il un ordre de constituants non marqué pragmatiquement avec le verbe en position médiane pour les clauses transitives ?,"All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.",4.1.04,374,132,VMedTrans,clause,argument marking,word order,Arawakan-specific
133,Is a pragmatically unmarked constituent order verb-final for transitive clauses?,,gerreesink,,0==absent||1==present,Existe-il un ordre de constituants non marqué pragmatiquement avec le verbe en position finale pour les clauses transitives ?,"All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.",4.1.05,343,133,VFinalTrans,clause,argument marking,word order,Arawakan-specific
134,Is the order of constituents the same in main and subordinate clauses?,,gerreesink,,0==absent||1==present,L’ordre des constituants est-il le même dans les clauses subordonnée principale?,"This is not always explicitly stated by the descriptive work, but an investigation into the examples and perhaps even appendixed text of the grammar should reveal this (to a certain extent). There might be asymmetries cause by TAME, negation or certain other markers, make sure you look through many different examples.",4.1.05a,267,134,MainSubClOrd,clause,argument marking,word order,Arawakan-specific
135,Do clausal objects occur in the same position as nominal objects?,,gerreesink,,0==absent||1==present,Les objets de clause apparaissent-ils dans la même position que les objets nominaux,"By clausal objects here we mean clauses that are directly governed by a finite verb (typically verbs of 'wanting', 'saying' etc.). In other words, complement subordinate clauses and not relative. The question aims at discerning whether they are treated like prototypical nominal direct objects, not indirect or obliques. This is not always explicitly stated by the descriptive work, but an investigation into the examples and perhaps even appendixed text of the grammar should reveal this. There might be asymmetries cause by TAME, negation or certain other markers, make sure you look through many different examples.",4.1.05b,257,135,ClObjPoss,clause,argument marking,word order,Arawakan-specific
136,Is constituent order fixed?,,gerreesink,"Do not consider 'left or right-dislocation', accompanied by intonational signals",0==absent||1==present,Est-ce que l'ordre des constituants est fixe?,"If the word order is non-fixed it is definitely not used to distinguish the semantic roles of arguments (opposite is not true though). Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus. Word order can be fixed, but not necessarily the same in all context (it could vary with the nature of the subject, TA etc.).",4.1.06,309,136,FixedConOrd,clause,argument marking,word order,Arawakan-specific
137,Can negation be marked clause-finally?,,gerreesink,This includes suffixes on verb-final clauses; prefixes on clause-final verbs do not count; Don't include elliptical 'Pete didn't',0==absent||1==present,La négation peut-elle être marquée en fin de clause ?,"This feature refers to Standard Negation, i.e. at least the negation of dynamic verbal predicates in declarative mood.  This includes suffixes on verb-final clauses, but prefixes on clause-final verbs do not count. Do not include elliptical constructions of the kind ""'Pete didn't"".",4.1.07,327,137,ClFinalNeg,clause,negation,multiple,Arawakan-specific
138,Can negation be marked clause-initially?,,gerreesink,Don't include elliptical 'Not Mary',0==absent||1==present,La négation peut-elle être marquée en début de clause ?,"This feature refers to Standard Negation, i.e. at least the negation of dynamic verbal predicates in declarative mood.  Do not include elliptical constructions of the kind  'Not Mary'.",4.1.08,326,138,ClInitNeg,clause,negation,multiple,Arawakan-specific
139,Is there a difference between imperative and declarative negation?,,gerreesink,,0==absent||1==present,Existe-t-il une différence entre négation de impératvef et négation déclarative ?,"This feature covers more than only different negators, different order, loss of finiteness or addition of new elements would also suffice. If the analysis of the language-specific researcher results in two different forms for negative imperative and prohibitive, then we are only concerned with the construction that is fulfilling the traditional imperative function for the coding of F139.",4.1.09,323,139,ImpDeclNeg,clause,negation,multiple,Arawakan-specific
140,Are verbal and non-verbal predicates marked by the same negator?,,gerreesink,,0==absent||1==present,Les prédicats verbaux et non-verbaux sont-ils marqués par le même négateur?,"This feature pertains only to the negative marker itself, be it an independent particle, verb, auxiliary, clitic or affix. By non-verbal here we are referring to locationa/existential predication, attributive predication and predicate nouns. Negation of possession, capability or knowing are not included. However, it is very likely that languages that have different negation from the standard negator for these functions also makes a distinction between locationa/existential and standard.",4.1.10,295,140,VNonVNeg,other,negation,multiple,Arawakan-specific
141,"Are S and O conflated morphologically in at least some basic constructions, i.e. simple main clauses?",,gerreesink,,0==absent||1==present,"Est-ce que S et O sont  amalgamés morphologiquement, au moins dans  certaines constructions basiques comme les clauses principales?","This question pertains to alignment of core arguments, bound or free. S & O alignment can be described as a kind of ergative-absolutive pattern. The alignment need not concern the entire person paradigm, if there is conflation in only one person this will suffice for a yes (1). If the language has no case marking of core arguments whatsoever there will be a yes (1) in both F141 and F142.",4.2.01,310,141,SOMorphConfl,clause,argument marking,case marking,Arawakan-specific
142,"Are S and A conflated morphologically in at least some basic constructions, i.e. simple main clauses?",,gerreesink,,0==absent||1==present,"Est-ce que S et A sont  amalgamés morphologiquement, au moins dans certaines constructions basiques comme des clauses principales ?","This question pertains to alignment of core arguments, bound or free. S & A alignment can be described as a kind of nominative-accusative pattern. The alignment need not concern the entire person paradigm, if there is conflation in only one person this will suffice for a yes (1). If the language has no case marking of core arguments whatsoever there will be a yes (1) in both F141 and F142.",4.2.02,315,142,SAMorphConfl,clause,argument marking,case marking,Arawakan-specific
143,"Are S and O conflated morphologically across clause boundaries, i.e. acting as syntactic pivot?",,gerreesink,,0==absent||1==present,"Est-ce que S et O sont amalgamés morphologiquement à travers les limites de clauses, c’est-à-dire fonctionnent comme pivot syntaxique ?","This concerns a construction of two clauses, the first transitive and the second intransitive. If the subject (S) is omitted in the second clause, is the interpretation that it is the A or the O that is the subject? Did the dog (O) run away in the sentence ""the dog bit the man and ran away""? If it is not possible to omit subject (for example by obligatory verbal agreement), investigate what the pattern is when S, A and O all belong to the same gender and/or number and/or person category. It is possible that both interpretations are grammatical, the ambiguity is resolved by speakers inferring from what is most semantically probable.",4.2.03,233,143,SOPivot,discourse,argument marking,case marking,Arawakan-specific
144,"Are S and A conflated morphologically across clause boundaries, i.e. acting as syntactic pivot?",,gerreesink,,0==absent||1==present,"Est-ce que S et A sont  amalgamés morphologiquement à travers les limites des clauses, c’est-à-dire fonctionnent comme pivot syntaxique ?","This concerns a construction of two clauses, the first transitive and the second intransitive. If the subject (S) is omitted in the second clause, is the interpretation that it is the A or the O that is the subject? Did the dog (O) run away in the sentence ""the dog bit the man and ran away""? If it is not possible to omit subject, investigate what the pattern is when S, A and O all belong to the same gender and/or number and/or person category. It is possible that both interpretations are grammatical, the ambiguity is resolved by speakers inferring from what is most semantically probable.",4.2.04,233,144,SAPivot,discourse,argument marking,case marking,Arawakan-specific
145,"Do S and O operate in the same way, and differently from A, for the purpose of any syntactic construction?",,gerreesink,,0==absent||1==present,"Est-ce que S et O fonctionnent de la même manière, et différemment de A, quelle que soit la construction syntaxique ?",,4.2.05,284,"(143:1 ^ 144: 0)-> 145:1, (141:1 and 142:1) ->145:1",SOConflOther,clause,argument marking,construction,Arawakan-specific
146,Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?,,gerreesink,"E.g., is there a morphosyntactic device dedicated to the difference between ""I deliberately forgot the keys""  and  ""I accidentally forgot the keys"" . Languages with constructions like ""hunger hits me""  or ""sickness hits me""  should be included.",0==absent||1==present,Existe-t-il une distinction morpho-syntaxique entre des prédicats qui expriment  des états ou évènements maitrisés par opposition à d’autres non maitrisés?,"This marking need not consists of a bound marker on the verb, it encompasses other constructions as well as long as they mark control/voluntariness. This question can be hard to answer negatively with great certainty. Auxiliaries are also included in ""verbs"". Constructions of the kind such as ""sickness hits me"" are included.",4.2.06,266,146,ControlPred,verb,argument marking,multiple,Arawakan-specific
147,Is there a morphologically marked passive construction?,,gerreesink,morphological marking includes some verbal affixation or some periphrastic element in the VP or clause,0==absent||1==present,Existe-t-il une construction morphologique de passif ?,"Is there a marker bound to the verb that encode the derived diatheses in which the agent role is not linked with a subject noun phrase. It is not relevant for this feature whether or not the marking of the agent role in an oblique role is prohibited, i.e. constructions of the kinds found in Finnish and other Uralic languages are also included in passive here.",4.2a.01,281,147,MorphPass,verb,valency change,affixes & clitics (- agreement),Arawakan-specific
148,Is there a morphologically marked antipassive?,,gerreesink,morphological marking includes some verbal affixation or some periphrastic element in the VP or clause,0==absent||1==present,Existe-t-il une construction morphologique d’anti-passif ?,"Is there a marker on the verb that decreases the valency of the verb by omission of (at least) the direct object? In ergative languages this would mean that the ergative agent becomes absolutive, if the marker is applied to a transitive verb.",4.2a.02,280,148,MorphAntipas,verb,valency change,affixes & clitics (- agreement),Arawakan-specific
149,Is there a morphologically marked inverse?,,gerreesink,"i.e. different marking by verbal affixation or pronominal clitics referring to A and O, depending on person, animacy or definiteness",0==absent||1==present,Existe-t-il un  inversif  marqué morphologiquement ?,"The definition of a direct–inverse language is a matter under research, but it is widely understood to involve different grammar for transitive predications according to the relative positions of their ""subject"" and their ""object"" on a person hierarchy, which in turn is some combination of saliency and animacy specific to a given language. The direct construction is the unmarked one. The direct construction is used when the subject of the transitive clause outranks the object in the person hierarchy, and the inverse is used when the object outranks the subject.",4.2a.03,280,149,MorphInverse,clause,argument marking,affixes & clitics (- agreement),Arawakan-specific
150,Is there clause chaining?,,gerreesink,(i.e. chains of morphologically stripped-down medial clauses which are dependent on one final clause for their TAM or participant marking specification),0==absent||1==present,Existe-t-il des enchainements de clauses?,"Clause-chaining here is not just juxtapositioning of minimal clauses with no connecters, but chains of morphologically stripped-down medial clauses which are dependent on a single clause usually, but not necessarily, final. ||""Clause-Chains (a.k.a Topic Chains, Medial Clauses, etc.) are long series of verbs and verb phrases with incomplete marking (medial clauses) followed by one fully specified verb which provides the missing categories. Only the final verb form may occur freely. Medial verbs are dependent on an independent form."" (Weisser 2013:1)",4.3.01,262,150,ClauseChain,clause,predication,concatenation,Arawakan-specific
151,Is there a morphologically-marked switch reference system?,,gerreesink,,0==absent||1==present,Existe-t-il un système de « switch-reference » marqué morphologiquement ?,"Is there a marker, usually on the verb, that marks if the argument shares the same referent as an argument of the preceding clause or not.",4.3.02,301,151,SwitchRef,discourse,argument marking,head marking,Arawakan-specific
152,Is there a morphologically marked distinction between simultaneous and sequential clauses?,,gerreesink,,0==absent||1==present,Existe-t-il une distinction morphologique entre clauses simultanées et séquentielles?,"This question is concerned with verbal marking. If sequentially is a secondary function of a imperfective aspect this does not count, it needs to be a devoted marker. The language does not need to express both overtly, one marker devoted to either function will do.",4.3.03,275,152,SimSeqCl,clause,iconicity,affixes & clitics (- agreement),Arawakan-specific
153,Is the verb 'say' or a quotative construction used in desiderative constructions?,,gerreesink,(e.g. 'I said for him to go' for 'I wanted him to go'),0==absent||1==present,Est-ce que le verbe « dire »ou une construction de discours indirect est utilisée pour des construction desiratives ?,e.g. 'I said for him to go' for 'I wanted him to go',4.3.04,239,153,DesidSay,verb,valency change,construction,Arawakan-specific
154,Are causatives formed by serial verb constructions?,,gerreesink,,0==absent||1==present,Les causatifs sont-ils formés par des verbes sériels?,See 118 for definition of serial verb.,4.4.01,286,118:0 -> 154:na,SerialVCaus,verb,valency change,concatenation,Arawakan-specific
155,Are causatives formed by bound affixes/clitics?,,gerreesink,,0==absent||1==present,Est-ce que les causatives sont formes par des affixes?,,4.4.02,319,155,AffixCaus,verb,valency change,affixes & clitics (- agreement),Arawakan-specific
156,Are causatives formed by constructions involving 'say'?,,gerreesink,,0==absent||1==present,Les causatifs sont-ils formés par une construction impliquant le verbe ‘dire’ ?,,4.4.03,283,156,SayConstCaus,verb,valency change,construction,Arawakan-specific
157,Is there tail-head linkage?,,gerreesink,(i.e. a discourse strategy in which the final verb of one sentence is repeated as the first verb of the next sentence),0==absent||1==present,Existe-t-il  un « tail-head linkage »?,"Tail-head linkage (THL) is a discourse pattern which consists in repeating, at the beginning of a new sentence, the main verbal root (with or without accompanying material) of the preceding sentence for discourse cohesion. This is a feature that is very striking if the language has it and it should be very evident in at least narratives. Sometimes so called ""Generic THL"" is included in typological surveys of THL, i.e. when the same verbal roots i not repeated but a generic verb (often 'do' or make'). If the language only displays Generic THL then it’s a no (0), it has to be a repetition of the exact same verbal root. Another potentially problematic issue is if the language only displays THL in instructional texts (recipes, rituals etc.). If that is the case, mark it down with a '?' and a comment.",4.5.03,208,157,TailHeadLink,discourse,cohesion,inserted item,Arawakan-specific
158,Are verbs reduplicated?,,gerreesink,Either partial or full reduplication counts,0==absent||1==present,Peut-on rédupliquer lesverbes?,"The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication counts, but if there is only partial the language should be coded with a ""?"" and a comment. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone.",4.5.05,304,158,VerbRedup,verb,derivation,reduplication,Arawakan-specific
159,Are nouns reduplicated?,,gerreesink,Either partial or full reduplication counts,0==absent||1==present,Peut-on rédupliquer lesnoms?,"The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication counts, but if there is only reduplication of individual phonemes the language should be coded with a ""0"" and a comment. Reduplication of units larger than one phoneme, independent of whether they are morphemes or not, also counts as reduplication here. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone.",4.5.06,267,159,NounRedup,noun,derivation,reduplication,Arawakan-specific
160,Are elements apart from verbs or nouns reduplicated?,,gerreesink,,0==absent||1==present,peut  rédupliquer des éléments autres que les verbes et les noms?,"The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication counts, but if there is only reduplication of individual phonemes the language should be coded with a ""0"" and a comment. Reduplication of units larger than one phoneme, independent of whether they are morphemes or not, also counts as reduplication here. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone.",4.5.07,259,160,OtherRedup,other,derivation,reduplication,Arawakan-specific
162,Is there a distinction between masculine and feminine in 1st person pronouns?,,hedvigskirgard,,0==absent||1==present,Existe-t-il une distinction entre le masculin et leféminin pour les pronoms de 1ere personne?,,,96,197:0 -> 162:na,,pronoun,pronominal gender,functional inventory,
163,How many genders/noun classes are there?,,hedvigskirgard,i.e. if the answer to 2.5.01 is YES,0==0||1==1||10==10||11==11||12==12||13==13||14==14||15==15||16==16||17==17||18==18||19==19||2==2||20==20||21==21||22==22||23==23||24==24||25==25||3==3||4==4||5==5||6==6||7==7||8==8||9==9,Combien de genres/classes nominales y-a-t-il ?,We are counting singular and plural NCs as separate here. Comments should be made on how the gender/NC-system is constructed,2.5.01a,91,50:0 -> 163:na,NCMany,noun,nominal classification,functional inventory,Arawakan-specific
165,Can trial number be marked on the noun itself?,,hedvigskirgard,,0==absent||1==present,Est-il possible  de marquer le triel sur le nom lui-même?,"This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.",,97,(222:1 v 223:1 v 224:1 v 225:1 v 226:1) -> 165:1,TriMarked,noun,number,affixes & clitics (- agreement),
166,Can paucal number be marked on the noun itself?,,hedvigskirgard,,0==absent||1==present,Est-il possible  de marquer le paucal sur le nom lui-même?,"This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.",,96,(227:1 v 228:1 v 229:1 v 230:1 v 231:1) -> 166:1,PaucMarked,noun,number,affixes & clitics (- agreement),
167,Are there logophoric pronouns for the 3rd person?,,gerreesink,,0==absent||1==present,Existe-t-il des pronom logophoriques pour l 3ème  personne ?,"Is there a pronoun that marks that the subject of a dependent clause is the same as the subject for the matrix clause? NB, this is a matter of 3rd person pronouns.",,68,167,,pronoun,cohesion,functional inventory,
168,Is there a distinction between inanimate and animate in 3rd person singular pronouns?,,hedvigskirgard,,0==absent||1==present,"Existe-t-il une distinction entre animé et inanimé pour les pronoms de 3ème  personne (ou pour les démonstratifs, s’il n’y a pas de pronoms de 3ème  personne)?",,,94,30:0 -> 168:na,,pronoun,pronominal gender,functional inventory,
169,Is there a distinction between masculine and feminine in 3rd person singular pronouns?,,hedvigskirgard,,0==absent||1==present,"Existe-t-il une distinction entre le masculin et le féminin pour les pronoms de 3ème  personne (ou pour les démonstratifs, si ’il n’y a pas des pronoms de 3ème  personne)?",,,94,30:0 -> 169:na,,pronoun,pronominal gender,functional inventory,
170,Can an attributive nominal modifier denoting a property concept agree with the gender/noun class of the head noun of the noun phrase?,,hedvigskirgard,,0==absent||1==present,Un modificateur nominal attribut dénotant une qualité peut-il s’accorder en genrre/classe nominale à la tête d’un syntagme nominal ?,"Attributive nominal modifier is roughly equal to the old term ""adjective"".",,88,56:0 -> 170:na,NCAgreeANM,adjective,nominal classification,agreement,
171,Can demonstratives agree with the gender/noun class of the  head noun of the noun phrase?,,hedvigskirgard,,0==absent||1==present,Les démonstratifs  peuvent-ils s'accorder en nombre à la tête du syntagme nominal?,Demonstratives can agree in gender/noun class with the head noun even if the head noun is not overtly marked for number,,99,56:0 -> 171:na,NCAgreeDEM,demonstrative,nominal classification,agreement,
172,Can articles agree with the gender/noun class of the head noun of the noun phrase?,,hedvigskirgard,,0==absent||1==present,Les articles peuvent-ils s'accorder en genre/classe nominal à la tête du syntagme nominal?,Articles can agree in gender/noun class with the head noun even if the head noun is not overtly marked for number,,80,56:0 -> 172:na,NCAgreeART,article,nominal classification,agreement,
173,Are noun class and number always marked by a portmanteau morpheme on the noun?,,francescadigarbo,,0==absent||1==present,Est-ce que  la classe nominale et le nombre sont toujours marqués par un morphème portemanteau sur le nom ?,"If there are ""plural noun classes"" the answer is (1).",,94,40:0 -> 173:na,,noun,nominal classification,affixes & clitics (- agreement),
174,Are noun class and number marked by a portmanteau morpheme on the noun in singular?,,francescadigarbo,,0==absent||1==present,Est-ce que la classe nominale et nombre sont marqués par un morphème portemanteau sur le nom au singulier ?,,,91,40:0 -> 174:na,,noun,nominal classification,affixes & clitics (- agreement),
175,Are noun class and number marked by a portmanteau morpheme on the noun in plural?,,francescadigarbo,,0==absent||1==present,Est-ce que la classe nominale et nombre sont marqués par un morphème portemanteau sur le nom au pluriel ?,,,91,40:0 -> 175:na,,noun,nominal classification,affixes & clitics (- agreement),
176,Can agreement of gender/noun class and number be marked by a portmanteau morpheme on other items in the noun phrase?,,francescadigarbo,,0==absent||1==present,L’accord de genre/classe nominale peut-il être marqué par un morphème portemanteau sur des autres éléments dans le syntagme nominale?,If this is true of at least one agreement target that is enough.,,87,(50:0 ^ 56:0) -> 176:0,,noun phrase,nominal classification,agreement,
177,"Can the verb carry a marker of animacy of argument, unrelated to the gender/noun class of the argument?",,gerreesink,,0==absent||1==present,"Est-il possible  que le verbe porte un marqueur d’argumentà caractère animé, sans rapport avec le genre/classe nominale de l’argument en question ?",This system needs to be unrelated to the gender/noun class system.,,79,177,,verb,nominal classification,head marking,Arawakan-specific
178,Are there several different singular genders/noun classes that can have the same plural gender/noun class?,,francescadigarbo,,0==absent||1==present,Est-il possible que plusieurs genres/classes nominales aient le même genre ou la même classe nominale de pluriel?,,,83,50:0 -> 178:na,,noun,nominal classification,functional inventory,
179,Are there genders/noun classes that cannot take number marking?,,hedvigskirgard,,0==absent||1==present,Existe-t-il des genres/classes nominales qui ne peuvent pas être marqué en nombre?,See F45.,,76,45:0 -> 179:na,,noun,nominal classification,declension,
181,Is number marking obligatory on certain (types of) nouns?,,hedvigskirgard,,0==absent||1==present,Le marquage du nombre est-il obligatoire pour certains types de noms?,"""Certain types of nouns"" refers to groups of nominal roots. There are languages where obligatoriness of number marker varies with the information status/deictic status of the referents (Yowle and Guro for example), that kind of distinction is not what this feature is concerned with.",,79,(182:1 v 183:1) -> 181:1,,noun,number,declension,
182,Is number marking obligatory on animate nouns?,,hedvigskirgard,,0==absent||1==present,Le marquage du nombre est-il obligatoire seulement pour des noms animés?,,,71,182:1 -> 181:1,,noun,number,declension,
183,Is number marking obligatory on human nouns?,,hedvigskirgard,,0==absent||1==present,Le marquage du nombre est-il obligatoire pour les noms humains uniquement?,,,74,183:1 -> 181:1,,noun,number,declension,
184,Can an attributive nominal modifier denoting a property concept agree with the number of the head noun of the noun phrase?,,hedvigskirgard,,0==absent||1==present,Un modificateur nominal attribut dénotant une qualité peut-il s’accorder en nombre à la tête d’un syntagme nominal ?,"Attributive nominal modifier is roughly equal to the old term ""adjective"".",,85,184,,adjective,number,agreement,
185,Can demonstratives agree in number with the head noun of the noun phrase?,,hedvigskirgard,,0==absent||1==present,Les démonstratifs peuvent-ils s'accorder en genre/classe nominale à la tête du syntagme nominal?,Demonstratives can agree in number with the head noun even if the head noun is not overtly marked for number,,95,185,,demonstrative,number,agreement,
186,Can articles agree in number with the head noun of the noun phrase?,,hedvigskirgard,,0==absent||1==present,Les  articles peuvent-ils s'accorder en nombre avec la tête du syntagme nominal?,Articles can agree in number with the head noun even if the head noun is not overtly marked for number,,72,186,,article,number,agreement,
187,Is there any productive diminutive marking on the noun?,,francescadigarbo,,0==absent||1==present,Existe-t-il un processus productif de maquage du diminutif sur le nom?,The marker can mark for more than only diminutive.,,73,187,,noun,diminutive,affixes & clitics (- agreement),
188,Is there any productive augmentative marking on the noun?,,francescadigarbo,,0==absent||1==present,Existe-t-il un procesuus productif de marquage de l’augmentatif sur le nom?,The marker can mark for more than only augmentative.,,61,188,,noun,augmentative,affixes & clitics (- agreement),
191,Is there a morphologically marked middle voice construction?,,gerreesink,,0==absent||1==present,Existe-t-il une construction morphologique de voix moyenne?,"Middle voice here is defined as a marker that signals that the subject carries properties of both the semantic role of patient and agent (see Lyon 1969:373). This markers can go under the names of ""medio-passive"" or ""auto-benefactive"". This middle marker cannot index the object, this makes it different from a reflexive pronoun.",,68,191,,other,TAM marking,affixes & clitics (- agreement),
192,Are the phonological properties of the noun stem a relevant category in the noun class/gender system?,,hedvigskirgard,,0==absent||1==present,Les propriétés phonologiques de la base nominale constituent-elles une catégorie pertinente dans le système de genre/classe nominale?,"Relevant category here does not have to mean that it's the absolute deciding factor when assigning a noun to a certain gender/NC, but that there is a clear preference for certain nouns to have a certain gender/NC. Phonological properties can be tone, initial consonant etc.",,81,50:0 -> 192:na,,noun,nominal classification,declension,
193,What is the relative order of noun and attributive nominal modifier denoting a property concept?,,hedvigskirgard,,0==there are no ANM||1==ANM-N||2==N-ANM||3==Both,Quelle est l’ordre relatif du nom et et du modificateur nominal attribut qui denote une propriété/qualité ?,"""Attributive nominal modifier"" is roughly equal to the old term ""adjective"", we want to include elements that mark ""adjectival"" function but that might not be described as ""adjectives"", see feature 69.",,90,193,,adjective,attribution,word order,
